# COLUMN GUIDE: n=number, year=publication year, month=publication month abbrev e.g. Jan (optional; shown before year when present), type=[original|review|case|letter], tags=authorship roles semicolon-separated [first|co-first|last|corresponding], cat=category keys semicolon-separated (see TAXONOMY in build/utils.py), title=full title, authors=full author list, journal=journal name, url=DOI or full URL, keywords=free-text hashtags semicolon-separated for search, highlight_topics=category keys where this article is featured (floats to top), featured=[yes|no] always-show gold star
n,year,month,type,tags,cat,title,authors,journal,url,keywords,highlight_topics,featured
52,2023,Jun,original,first,thoracic;oncology,"Esophageal Perforation Etiology, Outcome, and the Role of Surgical Management — An 18-Year Experience of Surgical Cases in A Referral Center","Shahriarirad R, Karoobi MR, Shekouhi R, Ebrahimi K, Ranjbar K, Amirian A, Mardani P, Fallahi MJ, Ziaian B*",BMC Surgery,https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-023-02080-w,Thoracic surgery;Surgical oncology,thoracic;oncology,
53,2023,Jun,original,,infectious,Management of Liver Hydatid Cysts: A Retrospective Analysis of 293 Surgical Cases from Southern Iran,"Erfani A, Shahriarirad R, Eskandarisani M, Rastegarian M, Sarkari B*",Journal of Tropical Medicine,https://www.hindawi.com/journals/jtm/2023/9998739/,Infectious disease;Hydatid disease,infectious,
54,2023,May,original,corresponding,endocrine,Investigating the Effectiveness of Intraoperative Rapid Parathyroid Hormone Assay in Parathyroidectomy Surgery in Patients with Secondary Hyperparathyroidism,"Nasiri S, Meshkati Yazd SM, Heshmati A, Mokhtari Ardekani A, Najafi M, Shahriarirad R*",BMC Endocrine Disorders,https://bmcendocrdisord.biomedcentral.com/articles/10.1186/s12902-023-01378-3,Endocrine surgery;Thyroid,endocrine,
55,2023,May,original,,derm,"Efficacy of Metformin vs. Doxycycline in Treating Acne Vulgaris: An Assessor-Blinded, Add-on, Randomized, Controlled Clinical Trial","Sadat Sadati M, Yazdanpanah N, Shahriarirad R, Javaheri R, Parvizi MM*",Journal of Cosmetic Dermatology,http://doi.org/10.1111/jocd.15785,Dermatology;Randomized trial,derm,
56,2023,May,original,co-first,gi,Evaluation Oral and Topical Bovine Colostrum compared to Mesalamine in the Treatment of Animal Model of Acetic Acid-Induced Ulcerative Colitis,"Koohi O, Shahriarirad R, Erfani A, Nekouei F, Seifbehzad S, Ebrahimi A*, Tanideh N, Ashkani-Esfahani S",Annals of Gastroenterology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10152808/,Complementary medicine;Supplement;Regenerative medicine;Translational research;Gastrointestinal surgery;Animal model,gi,
57,2023,Apr,original,corresponding;last,pulm,Serum Levels of Erythropoietin in Patients with Chronic Obstructive Pulmonary Disease and Anemia,"Rezvani A, Masoompour SM, Azarpira N, Monjazeb R, Akbarzadeh M, Salimi M, Shahriarirad R*",Scientific Reports,https://www.nature.com/articles/s41598-023-34290-w,Pulmonology,pulm,
58,2023,Apr,original,,gi,Comparison Of Mesh Fixation and Non-Fixation in Transabdominal Preperitoneal (TAPP) Inguinal Hernia Repair: A Randomized Control Trial,"Kiany F, Meshkati Yazd SM, Shahriarirad R, Kamran H, Karoobi MR*, Mehri G, Shabani Mofrad N",Surgical Endoscopy,https://link.springer.com/article/10.1007/s00464-023-10040-x,Gastrointestinal surgery;Hernia;Randomized trial,gi,
59,2023,Apr,original,,gi,"Translation, Cross-cultural Adaptation, and Psychometric Evaluation of the Persian (Farsi) Version of the QoLAF Questionnaire","Keramati MR*, Meshkati Yazd SM, Omidi M, Keshvari A, Shahriarirad S, Shahriarirad R, Nabavizadeh SS",PLOS One,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0277170,Quality of life;Gastrointestinal surgery,gi,
60,2023,Mar,original,corresponding;last,endocrine,The Evaluation of Locoregional Tumoral Involvement in the Co-occurrence of Hashimoto Thyroiditis with Papillary Thyroid Cancer,"Nasiri N, Meshkati Yazd SM, Gholami M, Shahriarirad S, Sharghi S, Shahriarirad R*",BMC Endocrine Disorder,https://bmcendocrdisord.biomedcentral.com/articles/10.1186/s12902-023-01322-5,Endocrine surgery;Thyroid,endocrine,
61,2023,Apr,original,,gi;transplant,"Comparison of the Preventive Effect of Colchicine versus Diphenhydramine, Prednisolone, and a Combination Therapy on Intraperitoneal Adhesion Bands: An Experimental Study in Rats","Malekhosseini SA, Alizadeh B, Hosseinzadeh A, Shahriarirad R, Kazemi K, Naseri R*",BMC Surgery,https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-023-01981-0,Gastrointestinal surgery;Transplant surgery;Animal model,gi;transplant,
